# OGLE-IV V-band filter
# Asahi Spectra Co., Ltd
# measurements in 9 spots on the filter
#
#        1              2                 3             4         5         6         7         8         9        10        11        12              13         14
# wavelength[A]   mean_transmission  standard_dev     spot1     spot2     spot3     spot4     spot5     spot6     spot7     spot8     spot9          minimal    maximal 
#
      4518.89       0.012633          0.001255      0.013699  0.012329  0.010959  0.013699  0.015069  0.010959  0.012329  0.012329  0.012329         0.010959   0.015069
      4531.18       0.014301          0.001042      0.014144  0.015559  0.015559  0.015559  0.014144  0.014144  0.014144  0.012730  0.012730         0.012730   0.015559
      4543.48       0.016186          0.001012      0.015175  0.015175  0.016692  0.015175  0.018209  0.015175  0.016692  0.016692  0.016692         0.015175   0.018209
      4555.78       0.016703          0.001684      0.016340  0.019608  0.016340  0.017974  0.016340  0.016340  0.013072  0.017974  0.016340         0.013072   0.019608
      4568.08       0.017361          0.001418      0.017361  0.015625  0.015625  0.019097  0.017361  0.019097  0.017361  0.019097  0.015625         0.015625   0.019097
      4580.38       0.021783          0.001978      0.021583  0.023381  0.025180  0.023381  0.019784  0.021583  0.021583  0.021583  0.017986         0.017986   0.025180
      4592.68       0.024074          0.001235      0.024074  0.024074  0.022222  0.022222  0.024074  0.024074  0.025926  0.025926  0.024074         0.022222   0.025926
      4604.99       0.022945          0.001803      0.022945  0.022945  0.019121  0.024857  0.024857  0.024857  0.021033  0.022945  0.022945         0.019121   0.024857
      4617.29       0.022614          0.001340      0.023483  0.021526  0.021526  0.023483  0.023483  0.021526  0.021526  0.025440  0.021526         0.021526   0.025440
      4629.60       0.026508          0.001874      0.025845  0.027833  0.023857  0.029821  0.023857  0.025845  0.027833  0.027833  0.025845         0.023857   0.029821
      4641.91       0.029275          0.001331      0.027944  0.029940  0.029940  0.029940  0.027944  0.027944  0.027944  0.029940  0.031936         0.027944   0.031936
      4654.21       0.025641          0.002337      0.024292  0.028340  0.022267  0.028340  0.024292  0.026316  0.022267  0.028340  0.026316         0.022267   0.028340
      4666.52       0.025814          0.001851      0.028283  0.026263  0.026263  0.026263  0.022222  0.028283  0.024242  0.026263  0.024242         0.022222   0.028283
      4678.84       0.028331          0.001825      0.025896  0.029881  0.027888  0.027888  0.025896  0.027888  0.031873  0.029881  0.027888         0.025896   0.031873
      4691.15       0.029586          0.001610      0.029586  0.027613  0.027613  0.029586  0.031558  0.031558  0.029586  0.031558  0.027613         0.027613   0.031558
      4703.46       0.033531          0.001315      0.031558  0.033531  0.031558  0.033531  0.035503  0.035503  0.033531  0.033531  0.033531         0.031558   0.035503
      4715.78       0.036585          0.001660      0.038618  0.038618  0.034553  0.036585  0.038618  0.034553  0.034553  0.036585  0.036585         0.034553   0.038618
      4728.09       0.036879          0.001737      0.034043  0.038298  0.034043  0.036170  0.038298  0.038298  0.036170  0.038298  0.038298         0.034043   0.038298
      4740.41       0.040650          0.001045      0.039911  0.039911  0.039911  0.039911  0.042129  0.039911  0.042129  0.042129  0.039911         0.039911   0.042129
      4752.73       0.041924          0.002300      0.041667  0.041667  0.041667  0.043981  0.043981  0.043981  0.037037  0.043981  0.039352         0.037037   0.043981
      4765.05       0.052241          0.001759      0.050119  0.052506  0.052506  0.054893  0.052506  0.052506  0.050119  0.054893  0.050119         0.050119   0.054893
      4777.37       0.055138          0.003736      0.055138  0.057644  0.052632  0.060150  0.050125  0.060150  0.050125  0.057644  0.052632         0.050125   0.060150
      4789.70       0.060068          0.003589      0.055838  0.063452  0.055838  0.063452  0.058376  0.060914  0.060914  0.065990  0.055838         0.055838   0.065990
      4802.02       0.068587          0.005044      0.061728  0.071605  0.064197  0.076543  0.066667  0.071605  0.069136  0.074074  0.061728         0.061728   0.076543
      4814.34       0.081307          0.005668      0.075294  0.084706  0.077647  0.091765  0.080000  0.084706  0.075294  0.087059  0.075294         0.075294   0.091765
      4826.67       0.087984          0.009202      0.081448  0.099548  0.076923  0.101810  0.088235  0.092760  0.079186  0.095023  0.076923         0.076923   0.101810
      4839.00       0.105495          0.010965      0.094506  0.112088  0.096703  0.127473  0.101099  0.105495  0.098901  0.118681  0.094506         0.094506   0.127473
      4851.33       0.137013          0.015959      0.124183  0.150327  0.117647  0.163399  0.132898  0.141612  0.128540  0.156863  0.117647         0.117647   0.163399
      4863.66       0.180135          0.027790      0.155844  0.201299  0.153680  0.227273  0.168831  0.190476  0.158009  0.216450  0.149351         0.149351   0.227273
