18:33:35 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=ultranest_plane/run0, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
18:33:43 [ultranest] [INFO] Sampling 400 live points from prior ...
18:33:43 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
18:33:43 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=3, min_num_live_points=400, cluster_num_live_points=40
18:33:43 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
18:33:46 [ultranest] [DEBUG] iteration=520, ncalls=4811, regioncalls=0, ndraw=40, logz=-6057120.54, remainder_fraction=100.0000%, Lmin=-6034762.32, Lmax=-140.97
18:33:46 [ultranest] [DEBUG] iteration=541, ncalls=5018, regioncalls=0, ndraw=40, logz=-5236961.68, remainder_fraction=100.0000%, Lmin=-5065533.55, Lmax=-140.97
18:33:46 [ultranest] [DEBUG] iteration=560, ncalls=5200, regioncalls=0, ndraw=40, logz=-4350246.22, remainder_fraction=100.0000%, Lmin=-4326294.47, Lmax=-5.29
18:33:46 [ultranest] [DEBUG] iteration=580, ncalls=5402, regioncalls=0, ndraw=40, logz=-3635413.53, remainder_fraction=100.0000%, Lmin=-3614921.88, Lmax=-0.46
18:33:46 [ultranest] [DEBUG] iteration=600, ncalls=5653, regioncalls=0, ndraw=40, logz=-3037017.15, remainder_fraction=100.0000%, Lmin=-3004270.60, Lmax=-0.46
18:33:46 [ultranest] [DEBUG] iteration=625, ncalls=5953, regioncalls=0, ndraw=40, logz=-2400758.92, remainder_fraction=100.0000%, Lmin=-2384503.93, Lmax=-0.46
18:33:47 [ultranest] [DEBUG] iteration=640, ncalls=6133, regioncalls=0, ndraw=40, logz=-2080687.75, remainder_fraction=100.0000%, Lmin=-2044127.84, Lmax=-0.46
18:33:47 [ultranest] [DEBUG] iteration=659, ncalls=6384, regioncalls=0, ndraw=40, logz=-1767168.49, remainder_fraction=100.0000%, Lmin=-1758367.41, Lmax=-0.46
18:33:47 [ultranest] [DEBUG] iteration=680, ncalls=6639, regioncalls=0, ndraw=40, logz=-1538104.87, remainder_fraction=100.0000%, Lmin=-1531154.60, Lmax=-0.46
18:33:47 [ultranest] [DEBUG] iteration=702, ncalls=6922, regioncalls=0, ndraw=40, logz=-1329529.27, remainder_fraction=100.0000%, Lmin=-1324720.43, Lmax=-0.46
18:33:47 [ultranest] [DEBUG] iteration=720, ncalls=7145, regioncalls=0, ndraw=40, logz=-1109202.89, remainder_fraction=100.0000%, Lmin=-1106583.26, Lmax=-0.46
18:33:47 [ultranest] [DEBUG] iteration=738, ncalls=7350, regioncalls=0, ndraw=40, logz=-974287.40, remainder_fraction=100.0000%, Lmin=-957380.48, Lmax=-0.46
18:33:47 [ultranest] [DEBUG] iteration=752, ncalls=7568, regioncalls=0, ndraw=40, logz=-888476.20, remainder_fraction=100.0000%, Lmin=-887779.53, Lmax=-0.46
18:33:47 [ultranest] [DEBUG] iteration=760, ncalls=7675, regioncalls=0, ndraw=40, logz=-844218.27, remainder_fraction=100.0000%, Lmin=-840092.57, Lmax=-0.46
18:33:47 [ultranest] [DEBUG] iteration=783, ncalls=7949, regioncalls=0, ndraw=40, logz=-733471.07, remainder_fraction=100.0000%, Lmin=-732758.56, Lmax=-0.46
18:33:47 [ultranest] [DEBUG] iteration=800, ncalls=8181, regioncalls=0, ndraw=40, logz=-673093.99, remainder_fraction=100.0000%, Lmin=-667259.09, Lmax=-0.46
18:33:47 [ultranest] [DEBUG] iteration=815, ncalls=8384, regioncalls=0, ndraw=40, logz=-613165.99, remainder_fraction=100.0000%, Lmin=-610777.19, Lmax=-0.46
18:33:48 [ultranest] [DEBUG] iteration=829, ncalls=8623, regioncalls=0, ndraw=40, logz=-579114.56, remainder_fraction=100.0000%, Lmin=-577992.23, Lmax=-0.46
18:33:48 [ultranest] [DEBUG] iteration=840, ncalls=8775, regioncalls=0, ndraw=40, logz=-547009.42, remainder_fraction=100.0000%, Lmin=-545281.70, Lmax=-0.46
18:33:48 [ultranest] [DEBUG] iteration=856, ncalls=8982, regioncalls=0, ndraw=40, logz=-501429.77, remainder_fraction=100.0000%, Lmin=-496239.74, Lmax=-0.46
18:33:48 [ultranest] [DEBUG] iteration=868, ncalls=9175, regioncalls=0, ndraw=40, logz=-472367.48, remainder_fraction=100.0000%, Lmin=-470787.89, Lmax=-0.46
18:33:48 [ultranest] [DEBUG] iteration=880, ncalls=9334, regioncalls=0, ndraw=40, logz=-446602.34, remainder_fraction=100.0000%, Lmin=-446311.42, Lmax=-0.46
18:33:48 [ultranest] [DEBUG] iteration=899, ncalls=9612, regioncalls=0, ndraw=40, logz=-393346.26, remainder_fraction=100.0000%, Lmin=-390835.42, Lmax=-0.46
18:33:48 [ultranest] [DEBUG] iteration=907, ncalls=9717, regioncalls=0, ndraw=40, logz=-379751.15, remainder_fraction=100.0000%, Lmin=-374054.28, Lmax=-0.46
