 ! Swift/XRT lightcurve of trigger: 10977, name: Swift J005139.2-721704 
 ! T0 for this burst is Swift MET=153250381.8006 s, = 2005 Nov 09 at 17:33:01.970 UT
 ! Data covers 0.3-10 keV
 ! The data are in 5 columns: ";
 ! time, time error (+ve), time error (-ve), source count-rate, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00010977
 ! BINMODE: 
! WT data
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
57754.2706298715	0.00695592592592593	-0.00695592592592593	5.974838e-01	3.667782e-02	-4.206303e-02
58434.8038008206	0.0411979513888889	-0.0411979513888889	1.020346e+00	3.200671e-02	-2.695847e-02
58435.335619022	0.0349445138888889	-0.0349445138888889	1.315399e+00	3.980107e-02	-4.105065e-02
58438.8897345752	0.607939872685185	-0.607939872685185	2.776822e+00	2.623358e-02	-2.635610e-02
58447.5128483669	0.0757306134259259	-0.0757306134259259	4.311017e+00	8.571587e-02	-1.191555e-01
58450.3314798345	0.0961687037037037	-0.0961687037037037	5.698598e+00	3.725517e-01	-3.725521e-01
! PC data
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
55866.1848464497	0.00114627314814815	-0.00114627314814815	9.149520e-03	1.374258e-02	-6.697448e-03
56154.5308186975	0.440583923611111	-0.440583923611111	1.387852e-03	1.068840e-03	-7.190197e-04
56203.3097421219	0.166507743055556	-0.166507743055556	3.788769e-03	3.564093e-03	-2.183391e-03
56206.6386030713	0.171686331018519	-0.171686331018519	9.081786e-04	6.793960e-04	-4.575653e-04
56257.1102714856	0.738900509259259	-0.738900509259259	1.349228e-03	1.014751e-03	-6.826337e-04
56261.6406460512	0.334215138888889	-0.334215138888889	1.048086e-03	6.898323e-04	-4.907705e-04
58428.5422990521	0.00603608796296296	-0.00603608796296296	1.233253e-02	4.740912e-03	-3.832650e-03
58431.4596274074	0.00538318287037037	-0.00538318287037037	4.549828e-01	3.802725e-02	-3.802725e-02
58434.7031665961	0.00560079861111111	-0.00560079861111111	8.235055e-01	5.094013e-02	-5.094013e-02
58435.5783610359	0.000348240740740741	-0.000348240740740741	1.002759e+00	3.659652e-01	-2.958538e-01
58437.688913191	0.00525255787037037	-0.00525255787037037	2.156479e+00	1.284237e-01	-1.284237e-01
58440.5421922986	0.00615217592592593	-0.00615217592592593	3.228838e+00	1.315336e-01	-1.315336e-01
58442.2675961944	0.000348240740740741	-0.000348240740740741	3.557339e+00	6.056302e-01	-6.056302e-01
58443.5383787315	0.00580393518518518	-0.00580393518518518	3.042886e+00	1.528929e-01	-1.528929e-01
58446.1944586424	0.00525255787037037	-0.00525255787037037	3.566553e+00	1.675309e-01	-1.675309e-01
58449.3145109155	0.00603608796296296	-0.00603608796296296	4.283054e+00	1.878731e-01	-1.878731e-01
58449.4324696887	0.000319212962962963	-0.000319212962962963	3.801924e+00	6.790602e-01	-6.790602e-01
58450.3390764317	0.103710775462963	-0.103710775462963	5.164188e+00	9.508951e-02	-9.508951e-02
58452.4349673368	0.00502040509259259	-0.00502040509259259	4.406478e+00	1.930350e-01	-1.930350e-01
58455.2861317801	0.00594903935185185	-0.00594903935185185	4.384017e+00	2.031740e-01	-2.031740e-01
58456.346070456	0.000362743055555556	-0.000362743055555556	4.668296e+00	7.326699e-01	-7.326699e-01
58458.9637169282	0.0360131018518519	-0.0360131018518519	3.302920e+00	1.260918e-01	-1.260918e-01
58470.4823513634	0.0354386111111111	-0.0354386111111111	1.832206e+00	1.159487e-01	-1.159487e-01
58470.9175021852	0.000348240740740741	-0.000348240740740741	1.157498e+00	2.578608e-01	-2.578608e-01
58471.5774172037	0.000319212962962963	-0.000319212962962963	1.202904e+00	4.104197e-01	-3.352521e-01
58471.9762835	0.00190078703703704	-0.00190078703703704	1.313473e+00	9.138497e-02	-9.138497e-02
58472.9361621759	0.0385551157407407	-0.0385551157407407	1.705812e+00	8.921982e-02	-8.921982e-02
58473.5014049838	0.00803844907407407	-0.00803844907407407	1.576417e+00	8.710772e-02	-8.710772e-02
58474.5580434398	0.00625373842592593	-0.00625373842592593	1.948281e+00	1.197141e-01	-1.197141e-01
58475.1198129884	0.0361705671296296	-0.0361705671296296	1.214208e+00	7.193055e-02	-7.193055e-02
58476.1784082037	0.0344978587962963	-0.0344978587962963	1.402113e+00	8.310411e-02	-8.310411e-02
58479.2811021018	0.000319212962962963	-0.000319212962962963	8.623071e-01	2.549403e-01	-2.131427e-01
58491.2882858588	0.000362743055555556	-0.000362743055555556	6.485931e-01	2.085520e-01	-1.718095e-01
58492.1443097361	0.00609415509259259	-0.00609415509259259	4.303434e-01	2.981720e-02	-2.981720e-02
58496.0689175995	0.00648592592592593	-0.00648592592592593	2.701302e-01	2.021230e-02	-2.021230e-02
58500.9035608044	0.00587648148148148	-0.00587648148148148	1.460024e-01	1.361708e-02	-1.361708e-02
58504.2974072778	0.00560079861111111	-0.00560079861111111	5.703009e-02	8.732836e-03	-8.732836e-03
58505.2225702176	0.000319212962962963	-0.000319212962962963	6.526682e-02	4.787569e-02	-3.224372e-02
58508.2029780729	0.200912303240741	-0.200912303240741	1.072810e-02	7.005450e-03	-4.983919e-03
58946.34383775	0.000362743055555556	-0.000362743055555556	5.498791e-02	4.183905e-02	-2.814556e-02
59912.5225933345	0.000304710648148148	-0.000304710648148148	2.437109e-01	8.706595e-02	-7.034142e-02
60318.921672206	0.000203136574074074	-0.000203136574074074	1.019394e-01	7.477644e-02	-5.036106e-02
! PC upper limits
53875.5549450446	0.536680625	-0.536680625	2.4310e-03	0.0000e+00	0.0000e+00
54646.213928535	0.039487662037037	-0.039487662037037	6.4375e-03	0.0000e+00	0.0000e+00
54662.1693098442	0.0021474537037037	-0.0021474537037037	2.9278e-02	0.0000e+00	0.0000e+00
55099.9621098441	0.90793099537037	-0.90793099537037	3.0485e-03	0.0000e+00	0.0000e+00
55153.7235767021	0.134351215277778	-0.134351215277778	4.6527e-03	0.0000e+00	0.0000e+00
55466.7640303719	0.0427216550925926	-0.0427216550925926	4.8836e-03	0.0000e+00	0.0000e+00
55467.8768495617	0.00153804398148148	-0.00153804398148148	5.0039e-02	0.0000e+00	0.0000e+00
55471.5508075047	0.0720244212962963	-0.0720244212962963	7.3494e-03	0.0000e+00	0.0000e+00
55473.9149126288	0.0412306134259259	-0.0412306134259259	8.3791e-03	0.0000e+00	0.0000e+00
55475.4558468963	0.177400439814815	-0.177400439814815	4.7439e-03	0.0000e+00	0.0000e+00
55485.2600506192	0.196799351851852	-0.196799351851852	5.8276e-03	0.0000e+00	0.0000e+00
55491.2017718354	0.00715334490740741	-0.00715334490740741	1.1546e-02	0.0000e+00	0.0000e+00
55708.9988400846	0.00104471064814815	-0.00104471064814815	5.0051e-02	0.0000e+00	0.0000e+00
55734.4942410787	0.273712199074074	-0.273712199074074	3.9245e-03	0.0000e+00	0.0000e+00
55795.5714384831	0.00136392361111111	-0.00136392361111111	4.4833e-02	0.0000e+00	0.0000e+00
55839.0469936613	0.00429490740740741	-0.00429490740740741	1.3260e-02	0.0000e+00	0.0000e+00
55841.8256967376	0.236011168981482	-0.236011168981482	1.0087e-02	0.0000e+00	0.0000e+00
55848.4286373527	0.234448564814815	-0.234448564814815	1.0903e-01	0.0000e+00	0.0000e+00
55865.8456431973	0.132016030092593	-0.132016030092593	1.0316e-02	0.0000e+00	0.0000e+00
55872.1285354944	0.00120431712962963	-0.00120431712962963	7.5735e-02	0.0000e+00	0.0000e+00
56145.542074305	0.00155255787037037	-0.00155255787037037	5.9087e-02	0.0000e+00	0.0000e+00
56146.5139747377	0.43659900462963	-0.43659900462963	9.6181e-03	0.0000e+00	0.0000e+00
56147.5197919299	0.307678148148148	-0.307678148148148	9.0028e-03	0.0000e+00	0.0000e+00
56148.5149642839	0.372394363425926	-0.372394363425926	2.5264e-03	0.0000e+00	0.0000e+00
56149.9506595431	0.874906886574074	-0.874906886574074	1.5576e-03	0.0000e+00	0.0000e+00
56152.0271319711	0.939395717592593	-0.939395717592593	2.3221e-03	0.0000e+00	0.0000e+00
56153.4955257764	0.471006585648148	-0.471006585648148	1.6241e-03	0.0000e+00	0.0000e+00
56157.0028290652	0.973440497685185	-0.973440497685185	1.2216e-03	0.0000e+00	0.0000e+00
56164.4519221211	0.538907997685185	-0.538907997685185	4.3450e-03	0.0000e+00	0.0000e+00
56166.5179465627	0.470798449074074	-0.470798449074074	4.5022e-03	0.0000e+00	0.0000e+00
56168.6215691293	0.1644234375	-0.1644234375	9.1759e-03	0.0000e+00	0.0000e+00
56170.3913203878	0.608540659722222	-0.608540659722222	2.2697e-03	0.0000e+00	0.0000e+00
56173.6320092434	0.171329375	-0.171329375	6.8508e-03	0.0000e+00	0.0000e+00
56196.7951279039	0.140162337962963	-0.140162337962963	4.7490e-03	0.0000e+00	0.0000e+00
56197.5308525145	0.407195451388889	-0.407195451388889	4.2894e-03	0.0000e+00	0.0000e+00
56199.2275213032	0.772331087962963	-0.772331087962963	2.0543e-03	0.0000e+00	0.0000e+00
56201.036180964	0.906740439814815	-0.906740439814815	1.8887e-03	0.0000e+00	0.0000e+00
56202.8650009374	0.0029309837962963	-0.0029309837962963	2.3521e-02	0.0000e+00	0.0000e+00
56204.4760433412	0.473832349537037	-0.473832349537037	2.0807e-03	0.0000e+00	0.0000e+00
56208.10699936	0.508130671296296	-0.508130671296296	2.8267e-03	0.0000e+00	0.0000e+00
56211.4505400932	0.431968298611111	-0.431968298611111	2.8999e-03	0.0000e+00	0.0000e+00
56212.9820057104	0.775492395833333	-0.775492395833333	2.4730e-03	0.0000e+00	0.0000e+00
56215.1534909034	0.677632002314815	-0.677632002314815	1.7665e-03	0.0000e+00	0.0000e+00
56216.4290198116	0.400010555555556	-0.400010555555556	1.0933e-02	0.0000e+00	0.0000e+00
56217.5938202089	0.107426689814815	-0.107426689814815	5.2829e-03	0.0000e+00	0.0000e+00
56219.9961457027	0.778023032407407	-0.778023032407407	1.3409e-03	0.0000e+00	0.0000e+00
56222.0089375043	0.970775694444444	-0.970775694444444	1.5172e-03	0.0000e+00	0.0000e+00
56223.0579894757	0.0377125694444444	-0.0377125694444444	1.6216e-02	0.0000e+00	0.0000e+00
56224.0236139701	0.00264078703703704	-0.00264078703703704	2.5044e-02	0.0000e+00	0.0000e+00
56226.6704575	0.643881238425926	-0.643881238425926	6.1572e-03	0.0000e+00	0.0000e+00
56229.1428319867	0.427980833333333	-0.427980833333333	1.4187e-02	0.0000e+00	0.0000e+00
56230.4454116585	0.341957025462963	-0.341957025462963	7.6608e-03	0.0000e+00	0.0000e+00
56232.5397874413	0.435767523148148	-0.435767523148148	8.9099e-03	0.0000e+00	0.0000e+00
56234.0137929197	0.975645740740741	-0.975645740740741	2.3491e-02	0.0000e+00	0.0000e+00
56233.0412232669	0.00307608796296296	-0.00307608796296296	3.4448e-02	0.0000e+00	0.0000e+00
