weight logl A B $log(f)$
0.000000000000000000e+00 -3.962004944198212624e+08 -7.559464281230150462e+00 3.202044385884285305e+01 -8.304981631877659254e+00
0.000000000000000000e+00 -3.933077281093024611e+08 9.877799991235736599e+00 -1.850577303577754407e+01 -4.487291531313366555e+00
0.000000000000000000e+00 -3.881273110289975405e+08 9.338931034516967600e+00 -3.237955428556355031e+01 -9.909388366616290966e+00
0.000000000000000000e+00 -3.874962999325281382e+08 8.164975193303561696e+00 3.397805012043158968e+01 -4.718540707743534846e+00
0.000000000000000000e+00 -3.862918136256679296e+08 -5.754189387900556341e+00 -3.420438031694032333e+01 -9.573754220252116198e+00
0.000000000000000000e+00 -3.799740790998012424e+08 -6.003341948403217998e+00 -2.286505323325641115e+01 -6.424698021230899947e+00
0.000000000000000000e+00 -3.764458563967192769e+08 9.407722096741125029e+00 -3.814222399000796315e+01 -6.108540782432267946e+00
0.000000000000000000e+00 -3.693459274291106462e+08 -6.542171975491928748e+00 -3.553755130246344152e+01 -4.384396378960440543e+00
0.000000000000000000e+00 -3.660250220432055593e+08 -7.081933815537908572e+00 2.503025626962697459e+01 -8.113917150072660789e+00
0.000000000000000000e+00 -3.634147527740044594e+08 8.833054333562074589e+00 -2.227566468213026951e+01 -9.390645398426459067e+00
0.000000000000000000e+00 -3.627390356538739204e+08 -6.314643270346900650e+00 -2.368973045891969065e+01 -4.721449935703073919e+00
0.000000000000000000e+00 -3.626884122180969715e+08 -5.378293353600759552e+00 -3.968043195655444322e+01 -9.288429323803940818e+00
0.000000000000000000e+00 -3.590468356657140255e+08 -7.865730244651542691e+00 -7.250991531658371514e+00 -4.077599818906431750e+00
0.000000000000000000e+00 -3.587937946647558212e+08 -7.018431160593035401e+00 2.539468499953669323e+01 -7.994287094323987652e+00
0.000000000000000000e+00 -3.581711918743041158e+08 -5.538693368103229986e+00 -3.196674306624645823e+01 -6.886988503903376468e+00
0.000000000000000000e+00 -3.578523215522586107e+08 7.566102093299079456e+00 2.877524006842850213e+01 -5.536366982967912520e+00
0.000000000000000000e+00 -3.470135377273665667e+08 -5.901703097033898615e+00 -1.318700624061914795e+01 -9.544887397624554737e+00
0.000000000000000000e+00 -3.407934242315689325e+08 -6.024445696614330714e+00 -5.931774177703765361e+00 -8.922103535105668115e+00
0.000000000000000000e+00 -3.364165402870870233e+08 7.773362665576012631e+00 8.144688851272874786e+00 -7.344443231565386476e+00
0.000000000000000000e+00 -3.348507946848735213e+08 -5.197138819055506787e+00 -3.770435933419167895e+01 -5.854956138799034093e+00
0.000000000000000000e+00 -3.326326357231896520e+08 8.200144787433853111e+00 -9.810978508272558685e+00 -6.948119829065562136e+00
0.000000000000000000e+00 -3.308658100015748739e+08 9.565067818407190003e+00 -4.460931288337100398e+00 -4.111557600171860116e+00
0.000000000000000000e+00 -3.243147495871558785e+08 -5.855069391368075138e+00 -5.977469874237129943e+00 -6.976106902167718005e+00
0.000000000000000000e+00 -3.206461664230722189e+08 -6.346882202709942078e+00 1.471865529885795354e+01 -7.310381211377089627e+00
0.000000000000000000e+00 -3.140586347638209462e+08 -8.160337205936880167e+00 2.220797776371646393e+01 -4.036794598896246811e+00
0.000000000000000000e+00 -3.102415123524238467e+08 6.965098888795360210e+00 3.033088876876503548e+01 -5.912779195000506860e+00
0.000000000000000000e+00 -3.085803866235627532e+08 -6.577264459350764980e+00 1.777762487906240096e+01 -4.995791693785688992e+00
0.000000000000000000e+00 -3.085605531242059469e+08 -7.274244277309394491e+00 1.121698512531403225e+01 -4.251366383999942045e+00
0.000000000000000000e+00 -3.049863881314535737e+08 7.539602328671399789e+00 4.008259737466055128e+00 -9.577349577222591392e+00
0.000000000000000000e+00 -3.028503970511738062e+08 8.192367529184828356e+00 -2.220910838707819579e+01 -9.903739466999182284e+00
0.000000000000000000e+00 -2.984564609174973369e+08 -7.414509993719677894e+00 3.866449714990437769e+01 -4.518693564318007283e+00
0.000000000000000000e+00 -2.943497257334752083e+08 -7.181796876512313688e+00 -4.988884594472587253e+00 -4.038603944787152678e+00
0.000000000000000000e+00 -2.941092970648516417e+08 9.065981500400603466e+00 2.268105955784573524e+01 -3.882865243622527274e+00
0.000000000000000000e+00 -2.934098389453895092e+08 8.858827305837696287e+00 -3.667176243827109516e+01 -4.809429193537600788e+00
0.000000000000000000e+00 -2.916588617433407903e+08 -6.104476298049423377e+00 -1.381552594283118651e+01 -4.425998584491745547e+00
0.000000000000000000e+00 -2.846419617409721613e+08 8.186449116792399394e+00 -1.889648854855786198e+01 -4.977643144915515627e+00
0.000000000000000000e+00 -2.843555291111567020e+08 -6.473929190617049301e+00 1.238283531253923542e+01 -4.592030273465833368e+00
0.000000000000000000e+00 -2.835241956489324570e+08 -5.447657082099041759e+00 -1.731059216150651281e+01 -4.881057296637384191e+00
0.000000000000000000e+00 -2.802368426460800767e+08 -4.816336543463122233e+00 -3.151438930024493601e+01 -5.440171501801758680e+00
0.000000000000000000e+00 -2.792205202333939672e+08 -6.131613997468106092e+00 1.607254779594971694e+01 -5.120045108612334417e+00
0.000000000000000000e+00 -2.789159438831275105e+08 -4.989980788251038746e+00 -1.978343983510264792e+01 -9.694481494698177215e+00
0.000000000000000000e+00 -2.788624662162606716e+08 8.251690504381073765e+00 -2.911172114099513664e+01 -5.293209735765286084e+00
0.000000000000000000e+00 -2.782014695008996725e+08 7.297283741088488540e+00 1.808349682389703617e+00 -7.306244744852103068e+00
0.000000000000000000e+00 -2.718596507014383674e+08 7.843296424026931390e+00 6.978503736048160988e+00 -4.448542168348329717e+00
0.000000000000000000e+00 -2.707483382411809564e+08 -6.127351431612961363e+00 2.501549453495348985e+01 -5.633456315628161626e+00
0.000000000000000000e+00 -2.703937598988849521e+08 -4.860831466603123374e+00 -2.105117128917132163e+01 -7.347975890641199825e+00
0.000000000000000000e+00 -2.695531703650444746e+08 -5.187111248369411953e+00 -1.112712242951893415e+01 -5.592841504665266861e+00
0.000000000000000000e+00 -2.655064023663453162e+08 -4.485673521138881625e+00 -3.494232395477465047e+01 -5.915894544586648429e+00
0.000000000000000000e+00 -2.615117025199087560e+08 9.078345036274001245e+00 1.217308043176578991e+01 -3.815069870662238571e+00
0.000000000000000000e+00 -2.604819264043352008e+08 -5.422895196095002923e+00 3.429389522392874312e+00 -5.837090438802706949e+00
0.000000000000000000e+00 -2.596335467463076711e+08 6.614405323911096701e+00 1.972901055272838988e+01 -9.630289970793608489e+00
0.000000000000000000e+00 -2.584987424527869821e+08 -6.294171134965442782e+00 3.584066042234083227e+01 -5.443031495974325118e+00
0.000000000000000000e+00 -2.579472683583114743e+08 -9.958722773731951250e+00 6.985922449244050370e+00 -3.363770828050723694e+00
0.000000000000000000e+00 -2.538654413190210760e+08 -6.055652836540408757e+00 3.296148070699607047e+01 -8.450101936057292207e+00
0.000000000000000000e+00 -2.507360837573581636e+08 6.647127724776972002e+00 1.464369299154181903e+01 -6.705141814771115705e+00
0.000000000000000000e+00 -2.490083554952212274e+08 9.816265520960939739e+00 -8.795456828908470470e+00 -3.711762481519301993e+00
0.000000000000000000e+00 -2.453483760911735296e+08 -4.944148470141270124e+00 -6.156212481191261077e+00 -7.536267846458088115e+00
