A B $log(f)$
3.981402808645206903e-01 2.037708714057895776e+01 -2.240094203835361064e+00
4.981120960250340346e-01 1.650609376891688385e+01 -2.175335826902364822e+00
6.285708690867117809e-01 1.150388293011326368e+01 -1.777903351613849381e+00
5.939871650110823964e-01 1.273777478373968108e+01 -2.261419722670378718e+00
2.801338761417646595e-01 2.491285177048983712e+01 -1.452887895872011725e+00
5.735316535982342145e-01 1.362499585756769704e+01 -2.196099686066553147e+00
5.352443693225534815e-01 1.516290786005686897e+01 -1.293540311390726671e+00
8.511307041736273504e-01 2.740937069271907944e+00 -5.310387566052927610e-01
6.126422439227674488e-01 1.218698495777157831e+01 -2.307045956750486404e+00
6.577388080312100982e-01 1.032219780211980265e+01 -2.231603775037761750e+00
5.492838157158672630e-01 1.448842208463405257e+01 -1.439897309126706659e+00
6.213589083179087424e-01 1.181247151163379527e+01 -2.145164728631391071e+00
7.389025073252692977e-01 7.216089571247266576e+00 -1.912299279813630903e+00
2.517954039255858589e-01 2.605228422445694036e+01 -2.182055667864145398e+00
4.243602403690633906e-01 1.940052838061927076e+01 -1.521773856616043474e+00
3.197501362212999965e-01 2.336213722174186813e+01 -1.765731227841625284e+00
4.146358215831735805e-01 1.977245829126709964e+01 -2.744451177810084630e+00
4.188580870201246142e-01 1.962810687061671899e+01 -2.187332057009804487e+00
6.283581965821145587e-01 1.147281446462125132e+01 -2.089069453228064255e+00
5.604822723988895916e-01 1.404661876571259427e+01 -2.152149302969982969e+00
3.527241510575116479e-01 2.209152863510445286e+01 -2.132701268218031743e+00
4.417041395032548223e-01 1.873026520988443622e+01 -1.851039102336070385e+00
5.191473455472355170e-01 1.568959818447338961e+01 -2.247053738741011664e+00
1.076340844384661821e+00 -5.846877859978931724e+00 -1.351094686494263897e+00
7.317248362597332800e-01 7.339245204204374318e+00 -1.458939953736406281e+00
4.319605989626413844e-01 1.914625655480193700e+01 -1.897955634939451741e+00
7.685796580145858314e-01 6.029829436211180393e+00 -6.583429458087799446e-01
3.820851835654615059e-02 3.437197456158716591e+01 -1.116943010624328991e+00
4.649761609994769174e-01 1.781173498949230805e+01 -2.092132158161535749e+00
5.234908264979054593e-01 1.557310697567153568e+01 -2.346372225728935668e+00
4.213990594106569176e-01 1.943575349620004999e+01 -2.261146097605956307e+00
4.896045654301452998e-01 1.695457059013281764e+01 -1.434782168303389227e+00
4.651245123646923219e-01 1.774009093963524464e+01 -2.427137195860908037e+00
3.898374490389926450e-01 2.071421363898126344e+01 -1.658678580402092706e+00
6.523725503889679089e-01 1.073281194171924824e+01 -1.504925216634596552e+00
6.325515259748382135e-01 1.129417183545857029e+01 -1.986583257112989997e+00
5.058343529585727083e-01 1.625143869597420121e+01 -2.484354934404075621e+00
4.546187181116501108e-01 1.821530431547256512e+01 -1.652311699765574460e+00
3.497366982877565533e-01 2.236448323038452202e+01 -2.035659803812306379e+00
