weight logl A B $log(f)$
0.000000000000000000e+00 -5.196744375718565583e+08 1.154314871592867497e-01 4.140274130304749667e-01 3.609380736252432165e-01
0.000000000000000000e+00 -5.172639555925499201e+08 7.562855338672380690e-02 8.194907639493727025e-01 2.589703514589855038e-01
0.000000000000000000e+00 -5.132601801078597307e+08 8.885318125503161024e-02 3.807177440401794399e-01 5.323517926547535195e-01
0.000000000000000000e+00 -5.114223143008279800e+08 9.596250186098910229e-01 7.118602274034536714e-01 2.862342640660802129e-01
0.000000000000000000e+00 -5.094522808272972107e+08 1.187221566807149520e-01 4.351030960742321430e-01 1.938051263554685377e-01
0.000000000000000000e+00 -5.068182441588220000e+08 1.279590675441840686e-01 3.568686967300148671e-01 2.455999517485552008e-02
0.000000000000000000e+00 -5.045324441890021563e+08 1.309467334362158786e-01 2.923050172592385199e-01 4.309294016953045814e-01
0.000000000000000000e+00 -5.041987343520832658e+08 1.124104357931111631e-01 5.184052469174444955e-01 4.179176821010988085e-03
0.000000000000000000e+00 -5.024788124907817245e+08 9.950373539146332158e-01 3.295294375481204741e-01 1.937523078539755694e-01
0.000000000000000000e+00 -4.959733865282315016e+08 1.120937778749563352e-01 5.553364304970742626e-01 1.979446302119759471e-01
0.000000000000000000e+00 -4.901211096060544252e+08 8.152907722114755007e-02 7.407509373846334899e-01 4.876007349327228235e-01
0.000000000000000000e+00 -4.881331154624419808e+08 9.278746173142227160e-01 9.262241599566490846e-01 3.331087264654751801e-01
0.000000000000000000e+00 -4.832973817277924418e+08 9.987751733424506950e-01 2.124400901717889978e-01 9.903218368546762296e-02
0.000000000000000000e+00 -4.799098476065395474e+08 9.511377119660979762e-02 7.864534533569933483e-01 2.658603311316625195e-01
0.000000000000000000e+00 -4.789802177459030151e+08 9.622682890138912759e-01 5.478493835123774414e-01 6.996499724965188349e-02
0.000000000000000000e+00 -4.731909035836293697e+08 9.935527591583067641e-01 4.941167495909088991e-01 5.249357665377941684e-01
