logz logzerr logvol nlive logl logwt insert_order
-5.905831507837680578e+08 6.173228456296016462e+06 -5.750000000000001638e-02 4.000000000000000000e+02 -5.734279992761099339e+08 -5.734280053263242245e+08 1.100000000000000089e+00
-5.734280053263242245e+08 1.162787704268683307e+07 -6.000000000000001860e-02 4.000000000000000000e+02 -5.694313803443695307e+08 -5.694313863970837593e+08 1.379999999999999893e+00
-5.694313863970837593e+08 1.062698123413878307e+07 -6.250000000000001388e-02 4.000000000000000000e+02 -5.683652625316516161e+08 -5.683652685868659019e+08 2.500000000000000000e-01
-5.683652685868659019e+08 3.973183032021005056e+05 -6.500000000000001610e-02 4.000000000000000000e+02 -5.559622045688028336e+08 -5.559622106265171766e+08 1.264999999999999902e+00
-5.559622106265171766e+08 6.225998929407328367e+06 -6.750000000000001832e-02 4.000000000000000000e+02 -5.487325653108633757e+08 -5.487325713710776567e+08 5.849999999999999645e-01
-5.487325713710776567e+08 8.377999630090693012e+06 -7.000000000000002054e-02 4.000000000000000000e+02 -5.448489225737315416e+08 -5.448489286364458799e+08 4.400000000000000022e-01
-5.448489286364458799e+08 1.681667659984549740e+06 -7.250000000000002276e-02 4.000000000000000000e+02 -5.408437734539974928e+08 -5.408437795192117691e+08 1.530000000000000027e+00
-5.408437795192117691e+08 2.538731181737477891e+06 -7.500000000000002498e-02 4.000000000000000000e+02 -5.393288797711958885e+08 -5.393288858389102221e+08 1.435000000000000053e+00
-5.393288858389102221e+08 1.518126959873885382e+06 -7.750000000000002720e-02 4.000000000000000000e+02 -5.333380870494237542e+08 -5.333380931196380258e+08 1.340000000000000080e+00
-5.333380931196380258e+08 3.181426933720664121e+06 -8.000000000000002942e-02 4.000000000000000000e+02 -5.259558522249590158e+08 -5.259558582976732850e+08 1.050000000000000044e+00
-5.259558582976732850e+08 5.627943892359276302e+06 -8.250000000000003164e-02 4.000000000000000000e+02 -5.196744375718565583e+08 -5.196744436470708251e+08 1.504999999999999893e+00
-5.196744436470708251e+08 7.817043334728218615e+06 -8.500000000000003386e-02 4.000000000000000000e+02 -5.172639555925499201e+08 -5.172639616702641845e+08 1.669999999999999929e+00
-5.172639616702641845e+08 8.248481971205229871e+06 -8.750000000000003608e-02 4.000000000000000000e+02 -5.132601801078597307e+08 -5.132601861880739927e+08 4.650000000000000244e-01
-5.132601861880739927e+08 2.002671271816854132e+06 -9.000000000000003830e-02 4.000000000000000000e+02 -5.114223143008279800e+08 -5.114223203835422397e+08 2.550000000000000044e-01
-5.114223203835422397e+08 2.260516011467827018e+06 -9.250000000000004052e-02 4.000000000000000000e+02 -5.094522808272972107e+08 -5.094522869125114679e+08 2.300000000000000100e-01
-5.094522869125114679e+08 1.526740840436878381e+06 -9.500000000000004274e-02 4.000000000000000000e+02 -5.068182441588220000e+08 -5.068182502465363145e+08 4.749999999999999778e-01
-5.068182502465363145e+08 2.796243878858881071e+06 -9.750000000000004496e-02 4.000000000000000000e+02 -5.045324441890021563e+08 -5.045324502792164683e+08 8.649999999999999911e-01
-5.045324502792164683e+08 9.897810490742756519e+05 -1.000000000000000472e-01 4.000000000000000000e+02 -5.041987343520832658e+08 -5.041987404447975755e+08 7.449999999999999956e-01
-5.041987404447975755e+08 7.178812056405958720e+05 -1.025000000000000494e-01 4.000000000000000000e+02 -5.024788124907817245e+08 -5.024788185859960318e+08 6.199999999999999956e-01
-5.024788185859960318e+08 9.198144810676311608e+05 -1.050000000000000516e-01 4.000000000000000000e+02 -4.959733865282315016e+08 -4.959733926259458065e+08 1.830000000000000071e+00
-4.959733926259458065e+08 3.391570423590730876e+06 -1.075000000000000538e-01 4.000000000000000000e+02 -4.901211096060544252e+08 -4.901211157062687278e+08 8.000000000000000167e-02
-4.901211157062687278e+08 3.643811474751166534e+06 -1.100000000000000561e-01 4.000000000000000000e+02 -4.881331154624419808e+08 -4.881331215651562810e+08 1.935000000000000053e+00
-4.881331215651562810e+08 9.800942896379306912e+05 -1.125000000000000583e-01 4.000000000000000000e+02 -4.832973817277924418e+08 -4.832973878330067396e+08 1.679999999999999938e+00
-4.832973878330067396e+08 2.846378276725759730e+06 -1.150000000000000605e-01 4.000000000000000000e+02 -4.799098476065395474e+08 -4.799098537142538428e+08 6.600000000000000311e-01
-4.799098537142538428e+08 3.756312171389944851e+06 -1.175000000000000627e-01 4.000000000000000000e+02 -4.789802177459030151e+08 -4.789802238561173081e+08 1.745000000000000107e+00
-4.789802238561173081e+08 3.762445845968346111e+06 -1.200000000000000649e-01 4.000000000000000000e+02 -4.731909035836293697e+08 -4.731909096963436604e+08 3.750000000000000000e-01
-4.731909096963436604e+08 3.540261321850201115e+06 -1.225000000000000672e-01 4.000000000000000000e+02 -4.712587565391085148e+08 -4.712587626543228030e+08 8.699999999999999956e-01
-4.712587626543228030e+08 3.432318943305258173e+06 -1.250000000000000555e-01 4.000000000000000000e+02 -4.701639717815133333e+08 -4.701639778992276192e+08 4.500000000000000111e-01
-4.701639778992276192e+08 3.380694688404593617e+06 -1.275000000000000577e-01 4.000000000000000000e+02 -4.696817998955639601e+08 -4.696818060157782435e+08 1.270000000000000018e+00
-4.696818060157782435e+08 4.358477310723888804e+05 -1.300000000000000600e-01 4.000000000000000000e+02 -4.557706627078117132e+08 -4.557706688305259943e+08 1.419999999999999929e+00
-4.557706688305259943e+08 6.557773120394285768e+06 -1.325000000000000622e-01 4.000000000000000000e+02 -4.522182658563554883e+08 -4.522182719815697670e+08 6.650000000000000355e-01
-4.522182719815697670e+08 7.332512984258666635e+06 -1.350000000000000644e-01 4.000000000000000000e+02 -4.455266074026294351e+08 -4.455266135303437114e+08 1.330000000000000071e+00
-4.455266135303437114e+08 8.804309618245445192e+06 -1.375000000000000666e-01 4.000000000000000000e+02 -4.447483730734844208e+08 -4.447483792036986947e+08 1.885000000000000009e+00
-4.447483792036986947e+08 3.668631785265080980e+05 -1.400000000000000688e-01 4.000000000000000000e+02 -4.410731240648004413e+08 -4.410731301975147128e+08 1.104999999999999982e+00
-4.410731301975147128e+08 1.834590711683875415e+06 -1.425000000000000711e-01 4.000000000000000000e+02 -4.340555038974311948e+08 -4.340555100326454639e+08 1.445000000000000062e+00
-4.340555100326454639e+08 3.308138596072304994e+06 -1.450000000000000733e-01 4.000000000000000000e+02 -4.325428508481304646e+08 -4.325428569858447313e+08 9.100000000000000311e-01
-4.325428569858447313e+08 3.075722998547002673e+06 -1.475000000000000755e-01 4.000000000000000000e+02 -4.146111217509917021e+08 -4.146111278912059665e+08 1.030000000000000027e+00
-4.146111278912059665e+08 1.004728980402683653e+07 -1.500000000000000777e-01 4.000000000000000000e+02 -4.125017650913750529e+08 -4.125017712340893149e+08 1.604999999999999982e+00
-4.125017712340893149e+08 8.733794645720778033e+06 -1.525000000000000799e-01 4.000000000000000000e+02 -4.112161534995195866e+08 -4.112161596447338462e+08 1.510000000000000009e+00
-4.112161596447338462e+08 5.823340604011090472e+06 -1.550000000000000822e-01 4.000000000000000000e+02 -4.070128499208950996e+08 -4.070128560686093569e+08 6.949999999999999512e-01
