 ! Swift/XRT detailed lightcurve of trigger: 10977, name: Swift J005139.2-721704 
 ! T0 for this burst is Swift MET=153250381.8006 s, = 2005 Nov 09 at 17:33:01.970 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
58475.1198129884	0.0361705671296296	-0.0361705671296296	1.214208e+00	7.193055e-02	-7.193055e-02	3.272174e-03	3.570234e-04	0.122351
58476.1784082037	0.0344978587962963	-0.0344978587962963	1.402113e+00	8.310411e-02	-8.310411e-02	2.910354e-03	3.233727e-04	0.152258
58479.2811021018	0.000319212962962963	-0.000319212962962963	8.623071e-01	2.549403e-01	-2.131427e-01	1.725276e-03	9.960888e-04	1.000000
58491.2882858588	0.000362743055555556	-0.000362743055555556	6.485931e-01	2.085520e-01	-1.718095e-01	1.067036e-03	7.545086e-04	1.000000
58492.1443097361	0.00609415509259259	-0.00609415509259259	4.303434e-01	2.981720e-02	-2.981720e-02	1.270341e-03	1.640003e-04	0.999997
58496.0689175995	0.00648592592592593	-0.00648592592592593	2.701302e-01	2.021230e-02	-2.021230e-02	1.947739e-03	1.947739e-04	0.999995
58500.9035608044	0.00587648148148148	-0.00587648148148148	1.460024e-01	1.361708e-02	-1.361708e-02	1.489322e-03	1.819497e-04	1.000000
58504.2974072778	0.00560079861111111	-0.00560079861111111	5.703009e-02	8.732836e-03	-8.732836e-03	1.222209e-03	1.401970e-04	1.000000
58505.2225702176	0.000319212962962963	-0.000319212962962963	6.526682e-02	4.787569e-02	-3.224372e-02	1.254295e-03	8.869204e-04	1.000000
58508.2029780729	0.200912303240741	-0.200912303240741	1.072810e-02	7.005450e-03	-4.983919e-03	6.919636e-04	1.153273e-04	0.013216
58946.34383775	0.000362743055555556	-0.000362743055555556	5.498791e-02	4.183905e-02	-2.814556e-02	2.753542e-03	1.231421e-03	1.000000
59912.5225933345	0.000304710648148148	-0.000304710648148148	2.437109e-01	8.706595e-02	-7.034142e-02	1.720306e-03	9.932192e-04	1.000000
60318.921672206	0.000203136574074074	-0.000203136574074074	1.019394e-01	7.477644e-02	-5.036106e-02	1.970107e-03	1.393076e-03	1.000000
! PC upper limits
53875.5549450446	0.536680625	-0.536680625	2.4310e-03	0.0000e+00	0.0000e+00	5.9108e-05	2.7470e-06	0.0934
54646.213928535	0.039487662037037	-0.039487662037037	6.4375e-03	0.0000e+00	0.0000e+00	1.1363e-04	1.2183e-05	0.2580
54662.1693098442	0.0021474537037037	-0.0021474537037037	2.9278e-02	0.0000e+00	0.0000e+00	1.4385e-04	3.5963e-05	1.0000
55099.9621098441	0.90793099537037	-0.90793099537037	3.0485e-03	0.0000e+00	0.0000e+00	5.9295e-05	3.7501e-06	0.0294
55153.7235767021	0.134351215277778	-0.134351215277778	4.6527e-03	0.0000e+00	0.0000e+00	2.2956e-05	3.3847e-06	0.1277
55466.7640303719	0.0427216550925926	-0.0427216550925926	4.8836e-03	0.0000e+00	0.0000e+00	4.0748e-05	5.3973e-06	0.4490
55467.8768495617	0.00153804398148148	-0.00153804398148148	5.0039e-02	0.0000e+00	0.0000e+00	3.7475e-04	8.5974e-05	1.0000
55471.5508075047	0.0720244212962963	-0.0720244212962963	7.3494e-03	0.0000e+00	0.0000e+00	1.9357e-05	3.8714e-06	0.1884
55473.9149126288	0.0412306134259259	-0.0412306134259259	8.3791e-03	0.0000e+00	0.0000e+00	1.0358e-05	2.3162e-06	0.3836
55475.4558468963	0.177400439814815	-0.177400439814815	4.7439e-03	0.0000e+00	0.0000e+00	2.8094e-05	3.4846e-06	0.1305
55485.2600506192	0.196799351851852	-0.196799351851852	5.8276e-03	0.0000e+00	0.0000e+00	2.4963e-05	4.3455e-06	0.0787
55491.2017718354	0.00715334490740741	-0.00715334490740741	1.1546e-02	0.0000e+00	0.0000e+00	1.3713e-04	2.4629e-05	1.0000
55708.9988400846	0.00104471064814815	-0.00104471064814815	5.0051e-02	0.0000e+00	0.0000e+00	1.1079e-03	2.9609e-04	1.0000
55734.4942410787	0.273712199074074	-0.273712199074074	3.9245e-03	0.0000e+00	0.0000e+00	1.1519e-04	9.7352e-06	0.0507
55795.5714384831	0.00136392361111111	-0.00136392361111111	4.4833e-02	0.0000e+00	0.0000e+00	3.0570e-04	1.0808e-04	1.0000
55839.0469936613	0.00429490740740741	-0.00429490740740741	1.3260e-02	0.0000e+00	0.0000e+00	1.3981e-04	2.5111e-05	1.0000
55841.8256967376	0.236011168981482	-0.236011168981482	1.0087e-02	0.0000e+00	0.0000e+00	1.0471e-04	1.6556e-05	0.0245
55848.4286373527	0.234448564814815	-0.234448564814815	1.0903e-01	0.0000e+00	0.0000e+00	4.3630e-04	3.0851e-04	0.0036
55865.8456431973	0.132016030092593	-0.132016030092593	1.0316e-02	0.0000e+00	0.0000e+00	1.6081e-03	1.8821e-04	0.0429
55872.1285354944	0.00120431712962963	-0.00120431712962963	7.5735e-02	0.0000e+00	0.0000e+00	1.0293e-05	7.2781e-06	1.0000
56145.542074305	0.00155255787037037	-0.00155255787037037	5.9087e-02	0.0000e+00	0.0000e+00	4.2076e-05	1.0519e-05	1.0000
56146.5139747377	0.43659900462963	-0.43659900462963	9.6181e-03	0.0000e+00	0.0000e+00	4.6113e-05	5.7642e-06	0.0208
56147.5197919299	0.307678148148148	-0.307678148148148	9.0028e-03	0.0000e+00	0.0000e+00	1.1870e-04	1.1529e-05	0.0443
56148.5149642839	0.372394363425926	-0.372394363425926	2.5264e-03	0.0000e+00	0.0000e+00	6.0251e-05	3.6466e-06	0.0963
56149.9506595431	0.874906886574074	-0.874906886574074	1.5576e-03	0.0000e+00	0.0000e+00	7.2804e-05	3.4947e-06	0.0637
56152.0271319711	0.939395717592593	-0.939395717592593	2.3221e-03	0.0000e+00	0.0000e+00	6.2530e-05	3.0957e-06	0.0574
56153.4955257764	0.471006585648148	-0.471006585648148	1.6241e-03	0.0000e+00	0.0000e+00	4.8704e-05	2.5563e-06	0.1171
56157.0028290652	0.973440497685185	-0.973440497685185	1.2216e-03	0.0000e+00	0.0000e+00	4.5502e-05	2.0535e-06	0.0835
56164.4519221211	0.538907997685185	-0.538907997685185	4.3450e-03	0.0000e+00	0.0000e+00	5.7217e-05	5.9980e-06	0.0313
56166.5179465627	0.470798449074074	-0.470798449074074	4.5022e-03	0.0000e+00	0.0000e+00	4.9363e-05	4.6643e-06	0.0391
56168.6215691293	0.1644234375	-0.1644234375	9.1759e-03	0.0000e+00	0.0000e+00	6.0769e-05	8.0490e-06	0.0637
56170.3913203878	0.608540659722222	-0.608540659722222	2.2697e-03	0.0000e+00	0.0000e+00	4.2966e-05	3.0306e-06	0.0654
56173.6320092434	0.171329375	-0.171329375	6.8508e-03	0.0000e+00	0.0000e+00	3.3873e-05	5.0495e-06	0.0766
56196.7951279039	0.140162337962963	-0.140162337962963	4.7490e-03	0.0000e+00	0.0000e+00	2.5860e-05	4.0387e-06	0.1095
56197.5308525145	0.407195451388889	-0.407195451388889	4.2894e-03	0.0000e+00	0.0000e+00	1.6384e-05	2.0167e-06	0.0613
56199.2275213032	0.772331087962963	-0.772331087962963	2.0543e-03	0.0000e+00	0.0000e+00	2.0048e-05	2.1016e-06	0.0512
56201.036180964	0.906740439814815	-0.906740439814815	1.8887e-03	0.0000e+00	0.0000e+00	1.9494e-05	1.4255e-06	0.0803
56202.8650009374	0.0029309837962963	-0.0029309837962963	2.3521e-02	0.0000e+00	0.0000e+00	1.2361e-05	8.7407e-06	1.0000
56204.4760433412	0.473832349537037	-0.473832349537037	2.0807e-03	0.0000e+00	0.0000e+00	4.2061e-05	3.1979e-06	0.0690
56208.10699936	0.508130671296296	-0.508130671296296	2.8267e-03	0.0000e+00	0.0000e+00	4.2009e-05	3.6290e-06	0.0702
56211.4505400932	0.431968298611111	-0.431968298611111	2.8999e-03	0.0000e+00	0.0000e+00	1.9856e-05	1.9106e-06	0.0745
56212.9820057104	0.775492395833333	-0.775492395833333	2.4730e-03	0.0000e+00	0.0000e+00	2.4502e-05	2.1489e-06	0.0464
