 ! Swift/XRT detailed lightcurve of trigger: 10977, name: smc X-3
 ! T0 for this burst is Swift MET=153250381.8006 s, = 2005 Nov 09 at 17:33:01.970 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
57682.2266361736	0.0676156481481481	-0.0676156481481481	3.409211e+00	3.419879e-02	-3.420192e-02	1.351294e-01	5.387961e-03	0.294548
57684.282907912	0.0724178703703704	-0.0724178703703704	3.390417e+00	3.290476e-02	-3.290799e-02	1.392027e-01	5.426686e-03	0.295798
57686.1451436551	0.130359386574074	-0.130359386574074	3.057539e+00	3.167361e-02	-3.167633e-02	1.449682e-01	5.526862e-03	0.161819
57688.5005629977	0.104764872685185	-0.104764872685185	2.902373e+00	4.027834e-02	-4.028027e-02	1.166832e-01	5.550052e-03	0.151247
57690.2544063333	0.0716042824074074	-0.0716042824074074	2.951800e+00	3.884984e-02	-3.885191e-02	1.101439e-01	5.473094e-03	0.190779
57696.8360498241	0.103879444444444	-0.103879444444444	2.526584e+00	2.931573e-02	-2.931774e-02	1.210740e-01	4.509031e-03	0.222621
57698.7953201852	0.2017015625	-0.2017015625	2.468324e+00	2.452042e-02	-2.452271e-02	9.992180e-02	3.589297e-03	0.151132
57700.7547393542	0.108219780092593	-0.108219780092593	2.259162e+00	2.482743e-02	-2.482932e-02	1.298941e-01	4.468492e-03	0.249092
57702.5384914051	0.100180578703704	-0.100180578703704	2.197818e+00	2.522411e-02	-2.522588e-02	1.213036e-01	4.420550e-03	0.257136
57705.6578244526	0.0343195833333333	-0.0343195833333333	2.016554e+00	3.805276e-02	-3.805374e-02	1.086841e-01	6.202927e-03	0.307329
57706.8961082141	0.0779987847222222	-0.0779987847222222	2.078143e+00	2.463317e-02	-2.463479e-02	1.351613e-01	4.614331e-03	0.331411
57708.8875745127	0.0788841782407407	-0.0788841782407407	1.950770e+00	2.559324e-02	-2.559461e-02	1.220954e-01	4.366121e-03	0.318622
57710.5446183345	0.0746226388888889	-0.0746226388888889	1.801051e+00	2.259978e-02	-2.260110e-02	1.001096e-01	3.836210e-03	0.360531
57712.301563603	0.105860069444444	-0.105860069444444	1.662088e+00	2.121359e-02	-2.121479e-02	1.190661e-01	4.147865e-03	0.267412
57714.4661879213	0.0696847685185185	-0.0696847685185185	1.535526e+00	2.657039e-02	-2.657121e-02	1.254002e-01	5.132289e-03	0.273018
57716.1887491505	0.0756546990740741	-0.0756546990740741	1.438578e+00	2.385688e-02	-2.385768e-02	1.187076e-01	4.710767e-03	0.276646
57718.3836202407	0.0786758217592593	-0.0786758217592593	1.254017e+00	2.061239e-02	-2.061309e-02	1.057460e-01	4.037400e-03	0.327441
57720.3401094896	0.10689712962963	-0.10689712962963	1.088811e+00	2.051391e-02	-2.051444e-02	1.228219e-01	4.212757e-03	0.248884
57722.6623145035	0.107624849537037	-0.107624849537037	9.894412e-01	1.701429e-02	-1.701483e-02	1.605395e-01	4.725841e-03	0.270029
57724.1897574213	0.107253587962963	-0.107253587962963	8.420250e-01	1.854758e-02	-1.854794e-02	2.083756e-01	6.166145e-03	0.222489
57726.6868867292	0.0740176851851852	-0.0740176851851852	8.020179e-01	1.914997e-02	-1.915028e-02	1.403952e-01	5.352518e-03	0.261311
57728.6436994502	0.109568287037037	-0.109568287037037	6.729334e-01	1.667493e-02	-1.667518e-02	1.681725e-01	4.752836e-03	0.260269
57730.1968691053	0.131418969907407	-0.131418969907407	7.446932e-01	1.718483e-02	-1.718513e-02	1.527759e-01	4.875276e-03	0.191880
57732.1262662014	0.0748994444444444	-0.0748994444444444	8.159003e-01	1.613281e-02	-1.613319e-02	1.329305e-01	4.714558e-03	0.364958
57734.8851827651	0.0958392476851852	-0.0958392476851852	7.740444e-01	2.217385e-02	-2.217410e-02	2.249039e-01	7.577203e-03	0.186491
57736.5786224201	0.13990412037037	-0.13990412037037	9.188811e-01	1.980791e-02	-1.980830e-02	1.238137e-01	4.897993e-03	0.147035
57738.1695403264	0.136513888888889	-0.136513888888889	9.898204e-01	1.758805e-02	-1.758857e-02	1.119548e-01	4.394609e-03	0.185855
57750.687313066	0.269437974537037	-0.269437974537037	8.027214e-01	1.647209e-02	-1.647245e-02	9.352611e-02	3.762172e-03	0.092515
57752.643372963	0.10014337962963	-0.10014337962963	7.630932e-01	1.919058e-02	-1.919086e-02	8.320228e-02	4.397377e-03	0.164641
57754.2727364942	0.0756715972222222	-0.0756715972222222	6.513251e-01	1.680520e-02	-1.680543e-02	9.592013e-02	4.166504e-03	0.280339
57780.1081517384	0.0048431712962963	-0.0048431712962963	6.061100e-01	3.229090e-02	-3.229100e-02	1.013413e-01	9.450124e-03	1.000000
! PC data
56146.5139747049	0.43659900462963	-0.43659900462963	4.066642e-03	2.670017e-03	-1.899542e-03	2.141395e-04	2.364775e-05	0.020838
56148.5149642625	0.372394386574074	-0.372394386574074	1.145039e-03	7.303266e-04	-5.393480e-04	1.412168e-04	7.658557e-06	0.096279
56149.950659575	0.874906863425926	-0.874906863425926	1.070478e-03	5.693196e-04	-4.408847e-04	1.348444e-04	5.633207e-06	0.063701
56151.9945141603	0.972013483796296	-0.972013483796296	1.914616e-02	1.794646e-03	-1.794646e-03	3.659877e-04	1.452378e-05	0.067503
56153.4955257433	0.471006585648148	-0.471006585648148	3.826766e-02	2.485930e-03	-2.485930e-03	4.762675e-04	2.132066e-05	0.117094
56154.5308187063	0.440583923611111	-0.440583923611111	3.829623e-02	4.629369e-03	-4.629369e-03	4.105445e-04	3.308262e-05	0.041265
56157.0028290321	0.973440497685185	-0.973440497685185	7.659618e-02	2.660987e-03	-2.660987e-03	5.763877e-04	1.997065e-05	0.105369
56164.451922088	0.538907997685185	-0.538907997685185	3.952090e-02	4.723806e-03	-4.723806e-03	3.443976e-04	3.183957e-05	0.031340
56166.5179465296	0.470798449074074	-0.470798449074074	1.370761e-02	2.452033e-03	-2.452033e-03	3.539012e-04	2.521442e-05	0.048572
56168.6215690962	0.1644234375	-0.1644234375	6.012460e-03	2.815786e-03	-2.182211e-03	2.918054e-04	3.058952e-05	0.063714
56196.7951278822	0.140162337962963	-0.140162337962963	1.384694e-02	2.956818e-03	-2.956818e-03	3.972001e-04	3.510786e-05	0.109526
56197.5308525234	0.407195451388889	-0.407195451388889	4.029260e-02	3.963721e-03	-3.963721e-03	4.267882e-04	3.010332e-05	0.061290
56199.2275212277	0.772331087962963	-0.772331087962963	5.394131e-02	3.635408e-03	-3.635408e-03	3.544528e-04	2.177386e-05	0.051214
56201.036180973	0.906740439814815	-0.906740439814815	6.020571e-02	2.829537e-03	-2.829537e-03	3.685132e-04	1.636624e-05	0.080267
56202.8650008924	0.0029309837962963	-0.0029309837962963	8.504162e-02	1.656345e-02	-1.656345e-02	6.296779e-04	1.408003e-04	1.000000
56203.3097421308	0.16650775462963	-0.16650775462963	8.432666e-02	1.194869e-02	-1.194869e-02	6.109831e-04	9.427674e-05	0.033898
56204.4760433193	0.473832349537037	-0.473832349537037	5.504572e-02	3.900986e-03	-3.900986e-03	4.331085e-04	2.630947e-05	0.069023
56206.6386030378	0.171686331018519	-0.171686331018519	5.258425e-02	3.914930e-03	-3.914930e-03	3.144386e-04	2.240282e-05	0.192438
56208.1069992494	0.508130659722222	-0.508130659722222	3.664675e-02	3.113554e-03	-3.113554e-03	4.453606e-04	2.558530e-05	0.070246
56211.4505400597	0.431968298611111	-0.431968298611111	1.658710e-02	2.213947e-03	-2.213947e-03	3.520356e-04	2.291557e-05	0.074536
56212.9820057194	0.775492395833333	-0.775492395833333	1.046563e-02	1.713756e-03	-1.713756e-03	3.044658e-04	1.600237e-05	0.046383
56215.1534908274	0.677631990740741	-0.677631990740741	1.509830e-03	6.877662e-04	-5.416882e-04	1.169035e-04	5.997021e-06	0.069462
56222.0089374939	0.970775717592593	-0.970775717592593	7.763781e-04	4.180724e-04	-3.170873e-04	5.945970e-05	2.860756e-06	0.072745
56224.0236139597	0.00264078703703704	-0.00264078703703704	1.023787e-02	7.811007e-03	-5.260622e-03	3.994494e-04	8.931959e-05	1.000000
56250.0364636846	0.00507844907407407	-0.00507844907407407	8.641430e-02	1.231338e-02	-1.231338e-02	4.249608e-04	8.674475e-05	1.000000
56251.8364072448	0.139847152777778	-0.139847152777778	8.532279e-02	7.068887e-03	-7.068887e-03	4.180720e-04	4.859988e-05	0.113923
56257.1102713973	0.738900497685185	-0.738900497685185	2.403843e-02	3.105661e-03	-3.105661e-03	2.546965e-04	2.296521e-05	0.032264
56258.5090874853	0.00327922453703704	-0.00327922453703704	1.086554e-02	6.775115e-03	-4.820050e-03	2.515938e-04	6.289845e-05	1.000000
56736.3716935463	0.00593452546296296	-0.00593452546296296	3.878389e-02	7.590696e-03	-7.590696e-03	9.356445e-04	9.003243e-05	1.000000
56738.2377050139	0.00587652777777778	-0.00587652777777778	5.085142e-02	8.594843e-03	-8.594843e-03	4.924112e-04	6.580122e-05	0.997524
56740.3692124884	0.00632628472222222	-0.00632628472222222	6.979373e-02	9.580563e-03	-9.580563e-03	8.837687e-04	1.122387e-04	1.000000
56742.8208436319	0.00609413194444444	-0.00609413194444444	9.931885e-02	1.189562e-02	-1.189562e-02	6.114053e-04	9.114292e-05	1.000000
56744.8208847292	0.00603608796296296	-0.00603608796296296	1.205236e-01	1.391790e-02	-1.391790e-02	4.829554e-04	8.049257e-05	1.000000
57135.938303566	0.040001412037037	-0.040001412037037	1.142106e-02	3.006030e-03	-3.006030e-03	4.128051e-04	3.663053e-05	0.280393
57547.8087218021	0.000319212962962963	-0.000319212962962963	4.649674e-02	4.455338e-02	-2.725506e-02	1.121383e-03	7.929375e-04	1.000000
57599.178651978	0.000362743055555556	-0.000362743055555556	2.290081e-01	7.779699e-02	-6.351033e-02	2.100899e-03	1.050450e-03	1.000000
57603.6955513368	0.000348240740740741	-0.000348240740740741	4.150967e-01	9.633303e-02	-9.633303e-02	3.562366e-03	1.346448e-03	1.000000
57610.6004976447	0.000348240740740741	-0.000348240740740741	1.354159e+01	1.648928e+00	-1.648928e+00	1.283750e-02	2.426060e-03	1.000000
57611.0025659086	0.000435300925925926	-0.000435300925925926	1.186289e+01	1.230752e+00	-1.230752e+00	3.628534e-02	3.762614e-03	0.933329
57617.5801377951	0.000348240740740741	-0.000348240740740741	2.765622e+01	3.690239e+00	-3.690239e+00	1.521521e-02	2.196126e-03	1.000000
57624.616206441	0.00027568287037037	-0.00027568287037037	3.960795e+01	4.957689e+00	-4.957689e+00	2.278192e-02	3.017538e-03	1.000000
57631.525977956	0.000348240740740741	-0.000348240740740741	3.479830e+01	4.140513e+00	-4.140513e+00	1.964535e-02	2.494962e-03	1.000000
57652.7390164479	0.000362743055555556	-0.000362743055555556	1.418137e+01	1.877137e+00	-1.877137e+00	7.317076e-03	1.724651e-03	1.000000
57659.6482498137	0.000348240740740741	-0.000348240740740741	7.411719e+00	1.021405e+00	-1.021405e+00	1.107772e-02	2.361778e-03	1.000000
57666.676014765	0.000333726851851852	-0.000333726851851852	5.907490e+00	9.133165e-01	-9.133165e-01	1.000060e-02	2.294294e-03	1.000000
57673.5865785359	0.000362743055555556	-0.000362743055555556	4.490613e+00	6.757309e-01	-6.757309e-01	6.599622e-03	1.830406e-03	1.000000
57680.7056908588	0.000362743055555556	-0.000362743055555556	3.872828e+00	6.269032e-01	-6.269032e-01	6.599622e-03	1.830406e-03	1.000000
57687.4698083785	0.000362743055555556	-0.000362743055555556	2.759878e+00	5.270446e-01	-5.270446e-01	4.569798e-03	1.523266e-03	1.000000
57701.845596566	0.000348240740740741	-0.000348240740740741	2.845946e+00	5.572715e-01	-5.572715e-01	1.599097e-02	2.872063e-03	1.000000
57708.4953702535	0.000333726851851852	-0.000333726851851852	1.709766e+00	4.361450e-01	-4.361450e-01	5.452682e-03	1.724289e-03	1.000000
57717.3905385382	0.000304710648148148	-0.000304710648148148	9.757890e-01	2.547632e-01	-2.547632e-01	3.098454e-03	1.385671e-03	1.000000
57722.7706425359	0.00027568287037037	-0.00027568287037037	8.806453e-01	3.938806e-01	-3.050236e-01	4.629141e-03	1.749651e-03	1.000000
57729.4806382708	0.000348240740740741	-0.000348240740740741	5.266491e-01	1.375690e-01	-1.375690e-01	2.831204e-03	1.266153e-03	1.000000
57736.9065402789	0.000377256944444444	-0.000377256944444444	1.045823e+00	2.370701e-01	-2.370701e-01	4.095628e-03	1.448023e-03	1.000000
57751.6195526956	0.000348240740740741	-0.000348240740740741	5.056953e-01	1.313972e-01	-1.313972e-01	1.545443e-03	8.922618e-04	1.000000
57758.7801211493	0.000362743055555556	-0.000362743055555556	5.275461e-01	1.572732e-01	-1.314180e-01	3.302876e-03	1.248370e-03	1.000000
57764.5550146007	0.000362743055555556	-0.000362743055555556	2.639384e-01	8.983688e-02	-7.333921e-02	2.437080e-03	1.089895e-03	1.000000
57769.9653779144	0.169680011574074	-0.169680011574074	1.819503e-01	8.152400e-03	-8.152400e-03	1.570717e-03	9.816978e-05	0.128269
57771.1954607153	0.00242314814814815	-0.00242314814814815	2.307970e-01	2.627544e-02	-2.627544e-02	2.190821e-03	3.553981e-04	1.000000
57772.0694982268	0.000362743055555556	-0.000362743055555556	1.885969e-01	7.200779e-02	-5.753804e-02	2.398700e-03	1.072731e-03	1.000000
57772.6363723704	0.0404616550925926	-0.0404616550925926	2.818826e-01	1.708800e-02	-1.708800e-02	1.755525e-03	1.334701e-04	0.319878
57773.0934655312	0.0347748842592593	-0.0347748842592593	2.546550e-01	1.474201e-02	-1.474201e-02	1.720277e-03	1.459120e-04	0.317528
57774.3540539109	0.0339024421296296	-0.0339024421296296	3.259550e-01	2.067404e-02	-2.067404e-02	1.845066e-03	1.521785e-04	0.295740
57775.3128502894	0.0709467361111111	-0.0709467361111111	3.082332e-01	1.875601e-02	-1.875601e-02	1.790948e-03	1.614844e-04	0.134163
57776.4815116782	0.041181400462963	-0.041181400462963	5.079459e-01	2.635618e-02	-2.635618e-02	1.833755e-03	1.555370e-04	0.250161
57777.268823647	0.0344221412037037	-0.0344221412037037	5.848353e-01	2.686456e-02	-2.686456e-02	2.165831e-03	1.681011e-04	0.311086
57778.8079630914	0.1647309375	-0.1647309375	5.603172e-01	3.133749e-02	-3.133749e-02	2.129871e-03	1.969067e-04	0.043424
