 ! Swift/XRT detailed lightcurve of trigger: 10336, name: Swift J0243.66124
 ! T0 for this burst is Swift MET=528690141.6006 s, = 2017 Oct 03 at 02:22:01.820 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
58098.2515608831	0.00260194444444444	-0.00260194444444444	4.038049e+02	2.355682e+00	-2.350246e+00	4.794680e+00	8.267919e-02	1.000000
58100.9770805741	0.00532274305555556	-0.00532274305555556	2.973138e+02	1.146098e+00	-1.140032e+00	3.844773e+00	5.379541e-02	1.000000
58102.4381753727	0.335169976851852	-0.335169976851852	3.369976e+02	1.520922e+00	-1.515054e+00	3.685254e+00	5.557625e-02	0.012786
58106.9499771238	0.00465726851851852	-0.00465726851851852	2.434432e+02	9.140550e-01	-9.089553e-01	3.799477e+00	5.505332e-02	1.000000
58108.5789192141	0.0353956597222222	-0.0353956597222222	2.940874e+02	1.029452e+00	-1.022841e+00	3.257482e+00	4.416950e-02	0.185583
58111.5900937326	0.00619087962962963	-0.00619087962962963	2.623402e+02	1.030448e+00	-1.025196e+00	3.728326e+00	5.112575e-02	1.000000
58114.1805543299	0.00671165509259259	-0.00671165509259259	2.311801e+02	7.924589e-01	-7.871514e-01	3.089021e+00	4.372910e-02	1.000000
58117.3678711968	0.00619082175925926	-0.00619082175925926	2.139118e+02	7.980361e-01	-7.935259e-01	3.119095e+00	4.604865e-02	1.000000
58120.431374419	0.00520329861111111	-0.00520329861111111	2.223388e+02	8.870372e-01	-8.826552e-01	2.701213e+00	4.644854e-02	1.000000
58131.7307152604	0.0676468634259259	-0.0676468634259259	1.500600e+02	5.240593e-01	-5.206781e-01	2.114279e+00	3.904633e-02	0.088694
58132.2306713252	0.0350449537037037	-0.0350449537037037	1.513627e+02	5.988145e-01	-5.958060e-01	2.373524e+00	4.394661e-02	0.157437
58135.3583631563	0.0337301967592593	-0.0337301967592593	1.174403e+02	4.141669e-01	-4.115466e-01	1.875817e+00	4.206036e-02	0.145442
58138.5015238553	0.00656699074074074	-0.00656699074074074	1.164158e+02	3.842874e-01	-3.815112e-01	1.854238e+00	3.684239e-02	0.999998
58141.423525978	0.133840162037037	-0.133840162037037	9.463746e+01	5.226843e-01	-5.213386e-01	1.645118e+00	5.679576e-02	0.017600
58144.7444945243	0.00595938657407407	-0.00595938657407407	8.979458e+01	3.214057e-01	-3.194319e-01	1.527220e+00	3.405615e-02	1.000000
58147.6062537072	0.00601717592592593	-0.00601717592592593	7.967142e+01	3.097977e-01	-3.081864e-01	1.425998e+00	3.339840e-02	1.000000
58150.652777809	0.00598825231481481	-0.00598825231481481	5.896196e+01	2.610708e-01	-2.600242e-01	1.157719e+00	3.078777e-02	1.000000
58153.0420367396	0.00561115740740741	-0.00561115740740741	4.787823e+01	2.463153e-01	-2.455843e-01	1.022531e+00	2.928698e-02	1.000000
58156.5607007928	0.00572694444444444	-0.00572694444444444	3.754389e+01	2.084722e-01	-2.079411e-01	5.592021e-01	1.958800e-02	1.000000
58162.0082027951	0.00472928240740741	-0.00472928240740741	2.524024e+01	1.884898e-01	-1.882246e-01	4.459462e-01	2.065806e-02	1.000000
58164.4024496979	0.26884099537037	-0.26884099537037	2.072953e+01	1.495915e-01	-1.493660e-01	4.152177e-01	1.751490e-02	0.022950
58165.4299215845	0.301771875	-0.301771875	1.997864e+01	1.287544e-01	-1.285110e-01	4.063244e-01	1.515334e-02	0.026538
58166.1287448137	0.0057241087962963	-0.0057241087962963	1.899084e+01	1.518322e-01	-1.516458e-01	4.719513e-01	2.010580e-02	1.000000
58168.0469852581	0.465978483796296	-0.465978483796296	1.686825e+01	1.034981e-01	-1.032822e-01	3.043228e-01	1.044433e-02	0.023526
58170.7676311308	0.0689300231481482	-0.0689300231481482	1.067746e+01	1.290965e-01	-1.290272e-01	2.710322e-01	1.351786e-02	0.079941
58172.1667060845	0.00595460648148148	-0.00595460648148148	9.373588e+00	1.128337e-01	-1.127726e-01	2.526834e-01	1.255594e-02	1.000000
58174.0594727778	0.0350802199074074	-0.0350802199074074	6.257730e+00	1.371603e-01	-1.371379e-01	1.709316e-01	1.726670e-02	0.064221
