 ! Swift/XRT detailed lightcurve of trigger: 10056, name: sxp 5.05
 ! T0 for this burst is Swift MET=153250381.8006 s, = 2005 Nov 09 at 17:33:01.970 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
56635.401430316	0.0372222916666667	-0.0372222916666667	1.338804e+00	5.644436e-02	-5.644436e-02	4.193508e-03	3.706572e-04	0.153977
56637.3080728264	0.068857650462963	-0.068857650462963	1.298626e+00	5.744688e-02	-5.744688e-02	3.677535e-03	3.538709e-04	0.078810
56640.7203280231	0.00313412037037037	-0.00313412037037037	1.309346e+00	8.790411e-02	-8.790411e-02	2.862231e-03	3.931576e-04	1.000000
56642.3030050012	0.135718171296296	-0.135718171296296	1.341464e+00	5.628025e-02	-5.628025e-02	3.901092e-03	3.143590e-04	0.053349
56643.0803164826	0.0271569791666667	-0.0271569791666667	1.543158e+00	7.836885e-02	-7.836885e-02	3.971488e-03	3.687434e-04	0.192880
56643.2392337396	0.0057458912037037	-0.0057458912037037	1.227118e+00	6.537920e-02	-6.537920e-02	4.348951e-03	3.688732e-04	1.000000
56643.3850982535	0.00502040509259259	-0.00502040509259259	1.255603e+00	9.143591e-02	-9.143591e-02	2.531253e-03	2.942522e-04	1.000000
56643.579696228	0.00557178240740741	-0.00557178240740741	1.233660e+00	6.073888e-02	-6.073888e-02	3.324159e-03	3.169461e-04	1.000000
56643.7146628831	0.000943136574074074	-0.000943136574074074	1.556417e+00	1.983544e-01	-1.983544e-01	4.343608e-03	9.260604e-04	1.000000
56643.9729936586	0.00532511574074074	-0.00532511574074074	1.244511e+00	7.090433e-02	-7.090433e-02	3.739170e-03	3.533184e-04	0.997274
56644.0396553484	0.00532511574074074	-0.00532511574074074	1.222918e+00	5.428547e-02	-5.428547e-02	3.497611e-03	3.334841e-04	1.000000
56644.2387236817	0.00486079861111111	-0.00486079861111111	1.120509e+00	5.928744e-02	-5.928744e-02	4.003776e-03	3.983906e-04	1.000000
56644.4474354062	0.00587648148148148	-0.00587648148148148	1.307135e+00	8.157439e-02	-8.157439e-02	2.073530e-03	2.043109e-04	1.000000
56644.5109734502	0.00410628472222222	-0.00410628472222222	1.241285e+00	7.786633e-02	-7.786633e-02	3.400890e-03	3.850750e-04	1.000000
56644.7495239248	0.0357240509259259	-0.0357240509259259	1.251721e+00	6.222383e-02	-6.222383e-02	3.231496e-03	3.264304e-04	0.156779
56644.9740434965	0.00567334490740741	-0.00567334490740741	1.291964e+00	6.944836e-02	-6.944836e-02	4.001529e-03	3.536885e-04	1.000000
56645.1067705683	0.00557178240740741	-0.00557178240740741	1.143311e+00	6.313255e-02	-6.313255e-02	3.101176e-03	3.215770e-04	1.000000
56645.2497639248	0.00493334490740741	-0.00493334490740741	6.044109e-01	3.948461e-02	-3.948461e-02	2.143848e-03	2.339130e-04	1.000000
56645.4439625012	0.00658746527777778	-0.00658746527777778	9.479598e-01	4.798674e-02	-4.798674e-02	2.934456e-03	2.836845e-04	1.000000
56645.5816107882	0.0057458912037037	-0.0057458912037037	1.043771e+00	8.915466e-02	-8.915466e-02	1.977294e-03	1.967481e-04	1.000000
56645.7185518646	0.00422236111111111	-0.00422236111111111	1.250256e-01	1.551270e-02	-1.551270e-02	2.086998e-03	2.512450e-04	1.000000
56645.9733356493	0.00497688657407407	-0.00497688657407407	3.141888e-01	2.729218e-02	-2.729218e-02	2.010929e-03	2.234365e-04	0.999997
56646.1127301979	0.0058765162037037	-0.0058765162037037	8.202955e-01	4.224718e-02	-4.224718e-02	3.416256e-03	3.257272e-04	0.997526
56646.3058014931	0.00516549768518519	-0.00516549768518519	1.093272e-01	1.240138e-02	-1.240138e-02	2.403426e-03	2.533434e-04	1.000000
56646.4400905903	0.00558631944444444	-0.00558631944444444	4.462903e-01	3.537665e-02	-3.537665e-02	3.026285e-03	2.604612e-04	0.999994
56646.5823020949	0.00573138888888889	-0.00573138888888889	6.963432e-01	7.404143e-02	-7.404143e-02	2.304432e-03	2.112469e-04	1.000000
56646.7186573264	0.00409177083333333	-0.00409177083333333	5.641440e-01	6.893854e-02	-6.893854e-02	2.148397e-03	2.448326e-04	1.000000
56646.9735104167	0.00551375	-0.00551375	2.390033e-01	2.193115e-02	-2.193115e-02	2.747809e-03	2.518913e-04	0.999998
56647.1156584259	0.005716875	-0.005716875	1.277736e-01	1.461447e-02	-1.461447e-02	1.298182e-03	1.331906e-04	1.000000
56647.2402617477	0.00473020833333333	-0.00473020833333333	7.956745e-02	1.119547e-02	-1.119547e-02	1.529316e-03	1.699240e-04	1.000000
56647.4406291435	0.00574592592592593	-0.00574592592592593	2.197549e-01	1.873226e-02	-1.873226e-02	3.209700e-03	2.762470e-04	0.999996
56647.58357375	0.0044690625	-0.0044690625	1.522329e-01	2.235152e-02	-2.235152e-02	3.336911e-03	5.030582e-04	0.506490
56647.7519613657	0.0367024537037037	-0.0367024537037037	2.785095e-01	3.688023e-02	-3.688023e-02	1.732915e-03	1.652270e-04	0.135996
56647.9735043634	0.00551373842592593	-0.00551373842592593	1.214360e-01	1.263374e-02	-1.263374e-02	2.952584e-03	2.718074e-04	1.000000
56648.1075438542	0.00548472222222222	-0.00548472222222222	1.266280e-01	1.306574e-02	-1.306574e-02	3.216761e-03	2.843242e-04	1.000000
56648.307924919	0.00372902777777778	-0.00372902777777778	7.104309e-02	1.195597e-02	-1.195597e-02	1.318245e-03	1.777521e-04	1.000000
56648.4426062384	0.00584746527777778	-0.00584746527777778	4.872272e-02	8.027433e-03	-8.027433e-03	1.079836e-03	9.736555e-05	1.000000
56648.7519918287	0.0367296643518519	-0.0367296643518519	5.072793e-02	8.616404e-03	-8.616404e-03	1.244333e-03	1.181069e-04	0.149722
56648.9075409143	0.00551373842592593	-0.00551373842592593	7.217153e-02	9.835651e-03	-9.835651e-03	1.668191e-03	1.635796e-04	1.000000
56649.1075443287	0.00478824074074074	-0.00478824074074074	1.509821e-01	1.510635e-02	-1.510635e-02	2.478327e-03	2.672449e-04	1.000000
56649.248820787	0.00518005787037037	-0.00518005787037037	6.165661e-01	5.620716e-02	-5.620716e-02	3.194247e-03	4.928829e-04	0.462181
56649.443445162	0.005716875	-0.005716875	9.236301e-01	5.316205e-02	-5.316205e-02	4.595257e-03	3.790104e-04	1.000000
56649.5834232523	0.00461413194444444	-0.00461413194444444	9.007385e-01	5.707294e-02	-5.707294e-02	3.057196e-03	3.335674e-04	1.000000
