hjd,camera,mag,mag_err,flux,flux_err
2458078.94857,bc,12.432,0.02,40.839,0.751
2458048.02544,bc,12.505,0.02,38.182,0.703
2458112.76493,bc,12.494,0.02,38.591,0.71
2457202.11052,bc,12.675,0.02,32.667,0.601
2457049.75547,bc,12.662,0.02,33.038,0.608
2457602.0218,bc,12.565,0.02,36.15,0.665
2457709.83863,bc,12.573,0.02,35.883,0.66
2457701.91933,bc,12.562,0.02,36.231,0.667
2457360.92983,bc,12.629,0.02,34.073,0.627
2457669.95846,bc,12.576,0.02,35.767,0.658
2457069.72608,bc,12.646,0.02,33.547,0.617
2457689.99098,bc,12.569,0.02,35.997,0.662
2457694.95552,bc,12.586,0.02,35.437,0.652
2457232.03696,bc,12.701,0.02,31.883,0.587
2457327.93671,bc,12.627,0.02,34.139,0.628
2457706.84932,bc,12.549,0.02,36.684,0.675
2457332.81429,bc,12.628,0.02,34.107,0.628
2457946.07553,bc,12.565,0.02,36.119,0.665
2457681.95267,bc,12.579,0.02,35.671,0.656
2457009.83434,bc,12.687,0.02,32.282,0.594
2457765.80728,bc,12.556,0.02,36.438,0.67
2457996.94508,bc,12.604,0.02,34.863,0.641
2457615.02948,bc,12.571,0.02,35.928,0.661
2457395.82414,bc,12.612,0.02,34.616,0.637
2457619.9875,bc,12.553,0.02,36.539,0.672
2457286.9611,bc,12.68,0.02,32.508,0.598
