5346.92112  14.774 0.003
5353.93132  14.779 0.003
5362.93963  14.769 0.003
5365.92238  14.767 0.003
5376.92693  14.760 0.003
5378.92811  14.766 0.003
5380.90150  14.759 0.003
5381.91038  14.768 0.003
5384.93147  14.748 0.003
5385.92333  14.758 0.003
5386.89369  14.761 0.003
5387.90534  14.757 0.003
5389.87659  14.764 0.003
5390.87906  14.771 0.003
5391.93114  14.774 0.003
5393.89246  14.740 0.003
5395.87838  14.764 0.003
5399.81719  14.757 0.003
5400.87168  14.756 0.003
5401.86129  14.758 0.003
5403.85792  14.745 0.003
5404.83949  14.753 0.003
5405.84511  14.750 0.003
5407.87860  14.746 0.003
5408.83578  14.758 0.003
5409.83729  14.762 0.003
5410.83884  14.758 0.003
5411.82602  14.745 0.003
5412.81996  14.730 0.003
5414.81944  14.755 0.003
5421.79484  14.759 0.003
5422.88560  14.758 0.003
5425.87034  14.762 0.003
5426.83649  14.768 0.003
5427.87205  14.776 0.003
5428.77533  14.786 0.003
5430.75661  14.748 0.003
5432.81173  14.763 0.003
5433.80511  14.774 0.003
5434.77586  14.773 0.003
5435.77242  14.761 0.003
5436.78179  14.761 0.003
5437.82412  14.767 0.003
5438.75915  14.761 0.003
5439.73847  14.758 0.003
5443.73863  14.753 0.003
5444.74710  14.757 0.003
5445.76454  14.765 0.003
5447.75223  14.773 0.003
5448.71584  14.759 0.003
5449.71072  14.742 0.003
5450.75522  14.752 0.003
5451.68777  14.757 0.003
5453.78271  14.758 0.003
5454.73275  14.752 0.003
5457.68420  14.757 0.003
5458.71945  14.756 0.003
5459.71932  14.756 0.003
5462.67283  14.752 0.003
5463.73395  14.749 0.003
5464.76581  14.770 0.003
5465.77324  14.777 0.003
5467.69373  14.758 0.003
5468.67360  14.747 0.003
5469.71781  14.751 0.003
5470.66816  14.764 0.003
5471.66585  14.775 0.003
5472.67353  14.765 0.003
5473.69552  14.763 0.003
5475.78922  14.762 0.003
5476.69043  14.768 0.003
5477.65644  14.764 0.003
5478.61626  14.752 0.003
5479.78757  14.759 0.003
5480.62615  14.755 0.003
5481.60297  14.750 0.003
5482.61786  14.759 0.003
5483.59368  14.768 0.003
5484.61899  14.784 0.003
5485.58969  14.789 0.003
5487.63698  14.745 0.003
5488.58302  14.755 0.003
5489.60484  14.762 0.003
5490.60186  14.763 0.003
5491.58362  14.754 0.003
5492.59478  14.755 0.003
5493.56497  14.757 0.003
5494.60579  14.757 0.003
5495.59550  14.764 0.003
5497.57494  14.752 0.003
5498.58287  14.758 0.003
5499.59337  14.751 0.003
5502.59381  14.780 0.003
5503.56435  14.786 0.003
5504.57480  14.777 0.003
5505.57602  14.754 0.003
5506.57802  14.756 0.003
5507.56260  14.768 0.003
5508.54529  14.767 0.003
5509.53849  14.768 0.003
5510.58157  14.762 0.003
5511.56738  14.759 0.003
5512.55510  14.763 0.003
5513.55559  14.774 0.003
5514.61607  14.769 0.003
5515.55768  14.762 0.003
5516.54683  14.759 0.003
5517.54364  14.751 0.003
5518.55531  14.755 0.003
5519.55276  14.758 0.003
5521.55741  14.785 0.003
5522.56463  14.786 0.003
5523.58879  14.762 0.003
5525.52899  14.756 0.003
5526.55814  14.771 0.003
5527.56078  14.772 0.003
5529.52940  14.760 0.003
5530.57299  14.758 0.003
5533.53699  14.766 0.003
5534.57726  14.757 0.003
5535.58055  14.766 0.003
5539.56467  14.787 0.003
5540.56991  14.800 0.003
5542.53999  14.770 0.003
5544.59652  14.769 0.003
5546.53959  14.779 0.003
5547.57803  14.768 0.003
5550.58845  14.774 0.003
5551.58170  14.777 0.003
5554.57587  14.764 0.003
5556.58525  14.783 0.003
5558.56494  14.809 0.003
5561.55188  14.758 0.003
5563.55711  14.789 0.003
5567.56045  14.782 0.003
5570.61792  14.786 0.003
5573.54832  14.773 0.003
5578.54784  14.805 0.003
5581.55078  14.790 0.003
5583.54652  14.805 0.003
5592.54023  14.794 0.003
5699.87963  14.840 0.003
5700.93103  14.837 0.003
5724.85921  14.866 0.003
5725.90398  14.878 0.003
5727.94337  14.856 0.003
5729.91571  14.861 0.003
5734.94037  14.861 0.003
5737.91760  14.860 0.003
5740.90720  14.852 0.003
5740.93708  14.857 0.003
5743.89599  14.874 0.003
5744.91833  14.877 0.003
5746.88726  14.859 0.003
5753.94395  14.867 0.003
5756.87822  14.868 0.003
5757.84059  14.865 0.003
5759.90805  14.862 0.003
5761.83415  14.862 0.003
5762.82574  14.886 0.003
5763.92913  14.905 0.003
5764.84877  14.881 0.003
5765.83397  14.838 0.003
5766.84805  14.872 0.003
5767.88064  14.877 0.003
5768.87894  14.874 0.003
5770.87982  14.876 0.003
5776.87509  14.891 0.003
5777.90552  14.888 0.003
5782.86752  14.914 0.003
5783.68363  14.900 0.003
5785.74884  14.891 0.003
5786.79653  14.901 0.003
5787.79178  14.907 0.003
5788.80767  14.898 0.003
5790.91010  14.924 0.003
5793.82047  14.925 0.003
5794.81250  14.925 0.003
5795.82726  14.937 0.003
5796.76134  14.942 0.003
5798.83432  14.950 0.003
5801.77482  14.981 0.003
5802.76312  14.975 0.003
5803.74849  14.965 0.003
5804.82674  14.968 0.003
5805.75727  14.964 0.003
5806.76743  14.981 0.003
5807.77942  14.985 0.003
5809.75628  14.995 0.003
5810.67435  15.011 0.003
5811.65805  15.010 0.003
5812.72296  15.021 0.003
5813.72985  15.028 0.003
5814.72979  15.042 0.003
5815.77625  15.045 0.003
5816.70701  15.047 0.003
5817.72273  15.054 0.003
5818.67539  15.071 0.003
5819.72162  15.102 0.003
5820.72219  15.091 0.003
5822.70233  15.086 0.003
5823.67648  15.096 0.003
5824.70161  15.092 0.003
5825.76426  15.117 0.003
5826.68149  15.124 0.003
5827.69636  15.127 0.003
5828.69741  15.127 0.003
5829.67814  15.136 0.003
5830.67357  15.149 0.003
5831.68615  15.158 0.003
5832.64496  15.166 0.003
5833.68176  15.163 0.003
5835.65076  15.172 0.003
5836.64405  15.185 0.003
5837.63563  15.187 0.003
5839.65281  15.204 0.003
5840.69168  15.205 0.003
5841.68992  15.190 0.003
5842.71863  15.199 0.003
