5346.91893  14.723 0.003
5353.92913  14.762 0.003
5362.93745  14.766 0.003
5365.92021  14.773 0.003
5376.92478  14.785 0.003
5378.92596  14.782 0.003
5380.89935  14.776 0.003
5381.90824  14.769 0.003
5382.93076  14.777 0.003
5384.92933  14.769 0.003
5385.92120  14.762 0.003
5386.89157  14.769 0.003
5387.90322  14.769 0.003
5389.87445  14.757 0.003
5390.87695  14.730 0.003
5391.92902  14.725 0.003
5393.89033  14.744 0.003
5395.87629  14.750 0.003
5399.81508  14.764 0.003
5400.86958  14.760 0.003
5401.85919  14.762 0.003
5403.85583  14.759 0.003
5404.83741  14.767 0.003
5405.84303  14.774 0.003
5407.87652  14.772 0.003
5408.83370  14.771 0.003
5409.83519  14.769 0.003
5410.83676  14.771 0.003
5411.82396  14.767 0.003
5412.81790  14.764 0.003
5414.81739  14.768 0.003
5421.79276  14.775 0.003
5422.88356  14.782 0.003
5425.86830  14.787 0.003
5426.83445  14.776 0.003
5427.87000  14.773 0.003
5428.77329  14.770 0.003
5430.75457  14.769 0.003
5432.80970  14.772 0.003
5433.80308  14.767 0.003
5434.77383  14.756 0.003
5435.77040  14.749 0.003
5436.77976  14.738 0.003
5437.82210  14.745 0.003
5438.75713  14.748 0.003
5439.73646  14.757 0.003
5443.73661  14.781 0.003
5444.74508  14.779 0.003
5445.76253  14.777 0.003
5447.75022  14.771 0.003
5448.71385  14.762 0.003
5449.70872  14.774 0.003
5450.75320  14.777 0.003
5451.68578  14.784 0.003
5453.78071  14.786 0.003
5454.73075  14.780 0.003
5455.77167  14.785 0.003
5457.68221  14.779 0.003
5458.71744  14.779 0.003
5459.71732  14.770 0.003
5462.67081  14.785 0.003
5463.73196  14.788 0.003
5464.76383  14.788 0.003
5465.77126  14.794 0.003
5467.69175  14.790 0.003
5468.67162  14.792 0.003
5469.71585  14.780 0.003
5470.66618  14.785 0.003
5471.66389  14.788 0.003
5472.67155  14.788 0.003
5473.69354  14.777 0.003
5475.78724  14.766 0.003
5476.68845  14.764 0.003
5477.65445  14.769 0.003
5478.61430  14.763 0.003
5479.78561  14.769 0.003
5480.62418  14.750 0.003
5481.60100  14.757 0.003
5482.61589  14.772 0.003
5483.59171  14.770 0.003
5484.61702  14.772 0.003
5485.58773  14.769 0.003
5487.63500  14.787 0.003
5488.58106  14.781 0.003
5489.60286  14.788 0.003
5490.59989  14.783 0.003
5491.58166  14.780 0.003
5492.59282  14.772 0.003
5493.56301  14.786 0.003
5494.60382  14.783 0.003
5495.59355  14.793 0.003
5497.57299  14.797 0.003
5498.58091  14.792 0.003
5499.59139  14.804 0.003
5502.59184  14.793 0.003
5503.56238  14.800 0.003
